Mot,EchelonDB,Nature,Categorie,Classe,Niveau
enquête,26,nom feminin,nom,College,6
environner,26,verbe 1er groupe,verbe,College,6
envoi,26,nom masculin,nom,College,6
épouvanter,26,verbe 1er groupe,verbe,College,6
exercer,26,verbe 1er groupe,verbe,College,6
exiger,26,verbe 1er groupe,verbe,College,6
expression,26,nom feminin,nom,College,6
faner,26,verbe 1er groupe,verbe,College,6
féliciter,26,verbe 1er groupe,verbe,College,6
kangourou,26,nom masculin,nom,College,6
fréquenter,26,verbe 1er groupe,verbe,College,6
kiwi,26,nom masculin,nom,College,6
gigantesque,26,adjectif qualificatif,adjectif,College,6
appartement,26,nom masculin,nom,College,6
glacer,26,verbe 1er groupe,verbe,College,6
gant,26,nom masculin,nom,College,6
goûter,26,verbe 1er groupe,verbe,College,6
grêle,26,nom feminin,nom,College,6
gymnastique,26,nom feminin,nom,College,6
héros,26,nom masculin,nom,College,6
cadeau,26,nom masculin,nom,College,6
immense,26,adjectif qualificatif,adjectif,College,6
imposer,26,verbe 1er groupe,verbe,College,6
installer,26,verbe 1er groupe,verbe,College,6
laisser,26,verbe 1er groupe,verbe,College,6
ruban,26,nom masculin,nom,College,6
mâchoire,26,nom feminin,nom,College,6
maire,26,nom masculin,nom,College,6
malle,26,nom feminin,nom,College,6
mêler,26,verbe 1er groupe,verbe,College,6
modérer,26,verbe 1er groupe,verbe,College,6
sapin,26,nom masculin,nom,College,6
naître,26,verbe 3eme groupe,verbe,College,6
nécessaire,26,adjectif qualificatif,adjectif,College,6
boule,26,nom feminin,nom,College,6
négligent,26,adjectif qualificatif,adjectif,College,6
oser,26,verbe 1er groupe,verbe,College,6
pansement,26,nom masculin,nom,College,6
paraître,26,verbe 3eme groupe,verbe,College,6
parer,26,verbe 1er groupe,verbe,College,6
percer,26,verbe 1er groupe,verbe,College,6
poêle,26,nom feminin,nom,College,6
poing,26,nom masculin,nom,College,6
pré,26,nom masculin,nom,College,6
précisément,26,adverbe,autres,College,6
projet,26,nom masculin,nom,College,6
prompt,26,adjectif qualificatif,adjectif,College,6
quelconque,26,adjectif qualificatif,adjectif,College,6
quinzaine,26,nom feminin,nom,College,6
rafraîchir,26,verbe 2eme groupe,verbe,College,6
rappeler,26,verbe 1er groupe,verbe,College,6
rapporter,26,verbe 1er groupe,verbe,College,6
reconnaissant,26,adjectif qualificatif,adjectif,College,6
redresser,26,verbe 1er groupe,verbe,College,6
régner,26,verbe 1er groupe,verbe,College,6
renaître,26,verbe 3eme groupe,verbe,College,6
chemin,26,nom masculin,nom,College,6
résonner,26,verbe 1er groupe,verbe,College,6
retrousser,26,verbe 1er groupe,verbe,College,6
neige,26,nom feminin,nom,College,6
souhaiter,26,verbe 1er groupe,verbe,College,6
sous-marin,26,nom masculin,nom,College,6
tailler,26,verbe 1er groupe,verbe,College,6
taper,26,verbe 1er groupe,verbe,College,6
tapisser,26,verbe 1er groupe,verbe,College,6
gorge,26,nom feminin,nom,College,6
tracer,26,verbe 1er groupe,verbe,College,6
universel,26,adjectif qualificatif,adjectif,College,6
histoire,26,nom feminin,nom,College,6
savon,26,nom masculin,nom,College,6
FALSE,26,adjectif qualificatif,adjectif,College,6
nappe,27,nom feminin,nom,College,6
âgé,27,adjectif qualificatif,adjectif,College,6
aigu,27,adjectif qualificatif,adjectif,College,6
serviette,27,nom feminin,nom,College,6
alcoolique,27,adjectif qualificatif,adjectif,College,6
américain,27,adjectif qualificatif,adjectif,College,6
août,27,nom masculin,nom,College,6
appétissant,27,adjectif qualificatif,adjectif,College,6
apprécier,27,verbe 1er groupe,verbe,College,6
assembler,27,verbe 1er groupe,verbe,College,6
serviette,27,nom feminin,nom,College,6
auparavant,27,adverbe,autres,College,6
bonheur,27,nom masculin,nom,College,6
voiture,27,nom feminin,nom,College,6
boite,27,nom feminin,nom,College,6
brigand,27,nom masculin,nom,College,6
chef-d'oeuvre,27,nom masculin,nom,College,6
ciseaux,27,nom masculin,nom,College,6
citer,27,verbe 1er groupe,verbe,College,6
citoyen,27,nom masculin,nom,College,6
civil,27,adjectif qualificatif,adjectif,College,6
colis,27,nom masculin,nom,College,6
collège,27,nom masculin,nom,College,6
colonne,27,nom feminin,nom,College,6
écolier,27,nom masculin,nom,College,6
communier,27,verbe 1er groupe,verbe,College,6
écolière,27,nom feminin,nom,College,6
confectionner,27,verbe 1er groupe,verbe,College,6
confesser,27,verbe 1er groupe,verbe,College,6
coûter,27,verbe 1er groupe,verbe,College,6
crèche,27,nom feminin,nom,College,6
crème,27,nom feminin,nom,College,6
cueillette,27,nom feminin,nom,College,6
cycliste,27,nom masculin,nom,College,6
daigner,27,verbe 1er groupe,verbe,College,6
dater,27,verbe 1er groupe,verbe,College,6
débris,27,nom masculin,nom,College,6
flèche,27,nom feminin,nom,College,6
fête,27,nom feminin,nom,College,6
désobéissant,27,adjectif qualificatif,adjectif,College,6
développer,27,verbe 1er groupe,verbe,College,6
tortue,27,nom feminin,nom,College,6
taille,27,nom feminin,nom,College,6
dossier,27,nom masculin,nom,College,6
écureuil,27,nom masculin,nom,College,6
encombrer,27,verbe 1er groupe,verbe,College,6
envahir,27,verbe 2eme groupe,verbe,College,6
envelopper,27,verbe 1er groupe,verbe,College,6
épi,27,nom masculin,nom,College,6
essuyer,27,verbe 1er groupe,verbe,College,6
extraordinaire,27,adjectif qualificatif,adjectif,College,6
extrême,27,adjectif qualificatif,adjectif,College,6
flûte,27,nom feminin,nom,College,6
foncer,27,verbe 1er groupe,verbe,College,6
gaiement,27,adverbe,autres,College,6
gazouiller,27,verbe 1er groupe,verbe,College,6
genou,27,nom masculin,nom,College,6
haleine,27,nom feminin,nom,College,6
halte,27,nom feminin,nom,College,6
heurter,27,verbe 1er groupe,verbe,College,6
horrible,27,adjectif qualificatif,adjectif,College,6
jaloux,27,adjectif qualificatif,adjectif,College,6
joncher,27,verbe 1er groupe,verbe,College,6
lâcher,27,verbe 1er groupe,verbe,College,6
fée,27,nom feminin,nom,College,6
sorcier,27,nom masculin,nom,College,6
sorcière,27,nom feminin,nom,College,6
prince,27,nom masculin,nom,College,6
princesse,27,nom feminin,nom,College,6
noircir,27,verbe 2eme groupe,verbe,College,6
reine,27,nom feminin,nom,College,6
paître,27,verbe 3eme groupe,verbe,College,6
pinceau,27,nom masculin,nom,College,6
pli,27,nom masculin,nom,College,6
poète,27,nom masculin,nom,College,6
pois,27,nom masculin,nom,College,6
quotidien,27,adjectif qualificatif,adjectif,College,6
peluche,27,nom feminin,nom,College,6
reparaître,27,verbe 3eme groupe,verbe,College,6
resplendir,27,verbe 2eme groupe,verbe,College,6
doudou,27,nom masculin,nom,College,6
renardeau,27,nom masculin,nom,College,6
saigner,27,verbe 1er groupe,verbe,College,6
s'empresser,27,verbe 1er groupe,verbe,College,6
soyeux,27,adjectif qualificatif,adjectif,College,6
pistolet,27,nom masculin,nom,College,6
suffisant,27,adjectif qualificatif,adjectif,College,6
symbole,27,nom masculin,nom,College,6
tonnerre,27,nom masculin,nom,College,6
tort,27,nom masculin,nom,College,6
toutefois,27,adverbe,autres,College,6
traiter,27,verbe 1er groupe,verbe,College,6
trajet,27,nom masculin,nom,College,6
tremper,27,verbe 1er groupe,verbe,College,6
triompher,27,verbe 1er groupe,verbe,College,6
trottoir,27,nom masculin,nom,College,6
type,27,nom masculin,nom,College,6
univers,27,nom masculin,nom,College,6
vaisselle,27,nom feminin,nom,College,6
abaisser,28,verbe 1er groupe,verbe,College,6
abri,28,nom masculin,nom,College,6
acquérir,28,verbe 3eme groupe,verbe,College,6
ambulance,28,nom feminin,nom,College,6
aspirateur,28,nom masculin,nom,College,6
associer,28,verbe 1er groupe,verbe,College,6
attarder,28,verbe 1er groupe,verbe,College,6
baigner,28,verbe 1er groupe,verbe,College,6
balayer,28,verbe 1er groupe,verbe,College,6
barrage,28,nom masculin,nom,College,6
bosselé,28,adjectif qualificatif,adjectif,College,6
brûlant,28,adjectif qualificatif,adjectif,College,6
brûler,28,verbe 1er groupe,verbe,College,6
caillou,28,nom masculin,nom,College,6
catholique,28,adjectif qualificatif,adjectif,College,6
central,28,adjectif qualificatif,adjectif,College,6
chaîne,28,nom feminin,nom,College,6
cheveu,28,nom masculin,nom,College,6
mécanicien,28,nom masculin,nom,College,6
chou,28,nom masculin,nom,College,6
commettre,28,verbe 3eme groupe,verbe,College,6
cloche,28,nom feminin,nom,College,6
compter,28,verbe 1er groupe,verbe,College,6
trésor,28,nom masculin,nom,College,6
couronne,28,nom feminin,nom,College,6
console,28,nom feminin,nom,College,6
consister,28,verbe 1er groupe,verbe,College,6
trône,28,nom masculin,nom,College,6
couronner,28,verbe 1er groupe,verbe,College,6
planche,28,nom feminin,nom,College,6
cuillère,28,nom feminin,nom,College,6
dépêcher,28,verbe 1er groupe,verbe,College,6
emploi,28,nom masculin,nom,College,6
endosser,28,verbe 1er groupe,verbe,College,6
ennuyer,28,verbe 1er groupe,verbe,College,6
désert,28,nom masculin,nom,College,6
essayer,28,verbe 1er groupe,verbe,College,6
étincelant,28,adjectif qualificatif,adjectif,College,6
excuser,28,verbe 1er groupe,verbe,College,6
fâcher,28,verbe 1er groupe,verbe,College,6
façonner,28,verbe 1er groupe,verbe,College,6
flan,28,nom masculin,nom,College,6
fouiller,28,verbe 1er groupe,verbe,College,6
poussière,28,nom feminin,nom,College,6
gratter,28,verbe 1er groupe,verbe,College,6
habile,28,adjectif qualificatif,adjectif,College,6
poussette,28,nom feminin,nom,College,6
habiller,28,verbe 1er groupe,verbe,College,6
hausser,28,verbe 1er groupe,verbe,College,6
cheminée,28,nom feminin,nom,College,6
flamme,28,nom feminin,nom,College,6
indifférent,28,adjectif qualificatif,adjectif,College,6
mémoire,28,nom feminin,nom,College,6
longtemps,28,adverbe,autres,College,6
nos,28,adjectif indefini,determinant,College,6
match,28,nom masculin,nom,College,6
méthode,28,nom feminin,nom,College,6
mouchoir,28,nom masculin,nom,College,6
mystère,28,nom masculin,nom,College,6
occasionner,28,verbe 1er groupe,verbe,College,6
chaton,28,nom masculin,nom,College,6
opposer,28,verbe 1er groupe,verbe,College,6
plongeoir,28,nom masculin,nom,College,6
frigo,28,nom masculin,nom,College,6
parmi,28,preposition,autres,College,6
chocolat,28,nom masculin,nom,College,6
peiner,28,verbe 1er groupe,verbe,College,6
persévérer,28,verbe 1er groupe,verbe,College,6
caramel,28,nom masculin,nom,College,6
précédent,28,adjectif qualificatif,adjectif,College,6
prise,28,nom feminin,nom,College,6
principal,28,adjectif qualificatif,adjectif,College,6
procéder,28,verbe 1er groupe,verbe,College,6
récompenser,28,verbe 1er groupe,verbe,College,6
dauphin,28,nom masculin,nom,College,6
maillot de bain,28,nom masculin,nom,College,6
parasol,28,nom masculin,nom,College,6
sillonner,28,verbe 1er groupe,verbe,College,6
parapluie,28,nom masculin,nom,College,6
sucer,28,verbe 1er groupe,verbe,College,6
tacher,28,verbe 1er groupe,verbe,College,6
tandis que,28,conjonction,autres,College,6
moucheron,28,nom masculin,nom,College,6
vanter,28,verbe 1er groupe,verbe,College,6
végétation,28,nom feminin,nom,College,6
verdâtre,28,adjectif qualificatif,adjectif,College,6
vieillesse,28,nom feminin,nom,College,6
accepter,29,verbe 1er groupe,verbe,College,6
accrocher,29,verbe 1er groupe,verbe,College,6
aligner,29,verbe 1er groupe,verbe,College,6
ample,29,adjectif qualificatif,adjectif,College,6
apparaître,29,verbe 3eme groupe,verbe,College,6
applaudir,29,verbe 2eme groupe,verbe,College,6
assez,29,adverbe,autres,College,6
attrister,29,verbe 1er groupe,verbe,College,6
bienveillant,29,adjectif qualificatif,adjectif,College,6
castor,29,nom masculin,nom,College,6
pêche,29,nom feminin,nom,College,6
bus,29,nom masculin,nom,College,6
carapace,29,nom feminin,nom,College,6
cornichon,29,nom masculin,nom,College,6
concombre,29,nom masculin,nom,College,6
contempler,29,verbe 1er groupe,verbe,College,6
courgette,29,nom feminin,nom,College,6
cygne,29,nom masculin,nom,College,6
dédaigner,29,verbe 1er groupe,verbe,College,6
ensoleillé,29,adjectif qualificatif,adjectif,College,6
errer,29,verbe 1er groupe,verbe,College,6
citron,29,nom masculin,nom,College,6
étinceler,29,verbe 1er groupe,verbe,College,6
exquis,29,adjectif qualificatif,adjectif,College,6
familial,29,adjectif qualificatif,adjectif,College,6
favori,29,adjectif qualificatif,adjectif,College,6
refrain,29,nom masculin,nom,College,6
fourrer,29,verbe 1er groupe,verbe,College,6
grelotter,29,verbe 1er groupe,verbe,College,6
grincer,29,verbe 1er groupe,verbe,College,6
guère,29,adverbe,autres,College,6
guetter,29,verbe 1er groupe,verbe,College,6
habituer,29,verbe 1er groupe,verbe,College,6
calendrier,29,nom masculin,nom,College,6
immeuble,29,nom masculin,nom,College,6
hérissé,29,adjectif qualificatif,adjectif,College,6
place,29,nom feminin,nom,College,6
lampe,29,nom feminin,nom,College,6
feutre,29,nom masculin,nom,College,6
maussade,29,adjectif qualificatif,adjectif,College,6
néanmoins,29,adverbe,autres,College,6
encrier,29,nom masculin,nom,College,6
périlleux,29,adjectif qualificatif,adjectif,College,6
photographier,29,verbe 1er groupe,verbe,College,6
sabot,29,nom masculin,nom,College,6
précéder,29,verbe 1er groupe,verbe,College,6
projeter,29,verbe 1er groupe,verbe,College,6
ranger,29,verbe 1er groupe,verbe,College,6
rattraper,29,verbe 1er groupe,verbe,College,6
bougie,29,nom feminin,nom,College,6
recueillir,29,verbe 3eme groupe,verbe,College,6
répandre,29,verbe 3eme groupe,verbe,College,6
blouse,29,nom feminin,nom,College,6
étage,29,nom masculin,nom,College,6
image,29,nom feminin,nom,College,6
s'efforcer,29,verbe 1er groupe,verbe,College,6
sincèrement,29,adverbe,autres,College,6
souterrain,29,adjectif qualificatif,adjectif,College,6
supposer,29,verbe 1er groupe,verbe,College,6
sûr,29,adjectif qualificatif,adjectif,College,6
tressaillir,29,verbe 3eme groupe,verbe,College,6
vieil,29,adjectif qualificatif,adjectif,College,6
mariée,29,nom feminin,nom,College,6
abîmer,30,verbe 1er groupe,verbe,College,6
accabler,30,verbe 1er groupe,verbe,College,6
apaiser,30,verbe 1er groupe,verbe,College,6
balançoire,30,nom feminin,nom,College,6
baptiser,30,verbe 1er groupe,verbe,College,6
bourrasque,30,nom feminin,nom,College,6
carrefour,30,nom masculin,nom,College,6
plage,30,nom feminin,nom,College,6
commander,30,verbe 1er groupe,verbe,College,6
délaisser,30,verbe 1er groupe,verbe,College,6
différer,30,verbe 1er groupe,verbe,College,6
rocher,30,nom masculin,nom,College,6
emballer,30,verbe 1er groupe,verbe,College,6
empêcher,30,verbe 1er groupe,verbe,College,6
étouffer,30,verbe 1er groupe,verbe,College,6
exact,30,adjectif qualificatif,adjectif,College,6
fâcheux,30,adjectif qualificatif,adjectif,College,6
sardine,30,nom feminin,nom,College,6
gambader,30,verbe 1er groupe,verbe,College,6
gêner,30,verbe 1er groupe,verbe,College,6
glace,30,nom feminin,nom,College,6
hésiter,30,verbe 1er groupe,verbe,College,6
inondation,30,nom feminin,nom,College,6
inonder,30,verbe 1er groupe,verbe,College,6
intense,30,adjectif qualificatif,adjectif,College,6
intéressant,30,adjectif qualificatif,adjectif,College,6
glaçon,30,nom masculin,nom,College,6
interpeller,30,verbe 1er groupe,verbe,College,6
interrompre,30,verbe 3eme groupe,verbe,College,6
noeud,30,nom masculin,nom,College,6
blessure,30,nom feminin,nom,College,6
orgueilleux,30,adjectif qualificatif,adjectif,College,6
ôter,30,verbe 1er groupe,verbe,College,6
sirop,30,nom masculin,nom,College,6
physique,30,adjectif qualificatif,adjectif,College,6
tasse,30,nom feminin,nom,College,6
pourrir,30,verbe 2eme groupe,verbe,College,6
gourde,30,nom feminin,nom,College,6
quant,30,preposition,autres,College,6
plante,30,nom feminin,nom,College,6
jardin,30,nom masculin,nom,College,6
souiller,30,verbe 1er groupe,verbe,College,6
tâcher,30,verbe 1er groupe,verbe,College,6
pneu,30,nom masculin,nom,College,6
tourbillonner,30,verbe 1er groupe,verbe,College,6
turbulent,30,adjectif qualificatif,adjectif,College,6
buisson,31,nom masculin,nom,College,6
seerviette,31,nom feminin,nom,College,6
balai,31,nom masculin,nom,College,6
bruyant,31,adjectif qualificatif,adjectif,College,6
frein,31,nom masculin,nom,College,6
déshabiller,31,verbe 1er groupe,verbe,College,6
dessin,31,nom masculin,nom,College,6
arbuste,31,nom masculin,nom,College,6
entraîner,31,verbe 1er groupe,verbe,College,6
exaucer,31,verbe 1er groupe,verbe,College,6
pédale,31,nom feminin,nom,College,6
exciter,31,verbe 1er groupe,verbe,College,6
selle,31,nom feminin,nom,College,6
trottinette,31,nom feminin,nom,College,6
harmonieux,31,adjectif qualificatif,adjectif,College,6
grenouille,31,nom feminin,nom,College,6
inquiéter,31,verbe 1er groupe,verbe,College,6
intéresser,31,verbe 1er groupe,verbe,College,6
obscurcir,31,verbe 2eme groupe,verbe,College,6
recommander,31,verbe 1er groupe,verbe,College,6
ressembler,31,verbe 1er groupe,verbe,College,6
rôder,31,verbe 1er groupe,verbe,College,6
soupçonner,31,verbe 1er groupe,verbe,College,6
crapaud,31,nom masculin,nom,College,6
théâtre,31,nom masculin,nom,College,6
tunnel,31,nom masculin,nom,College,6
voeu,31,nom masculin,nom,College,6
agacer,32,verbe 1er groupe,verbe,College,6
aiguiser,32,verbe 1er groupe,verbe,College,6
aîné,32,adjectif qualificatif,adjectif,College,6
apprêter,32,verbe 1er groupe,verbe,College,6
attester,32,verbe 1er groupe,verbe,College,6
couteau,32,nom masculin,nom,College,6
bibliothèque,32,nom feminin,nom,College,6
soldat,32,nom masculin,nom,College,6
bourgeon,32,nom masculin,nom,College,6
salade,32,nom feminin,nom,College,6
confus,32,adjectif qualificatif,adjectif,College,6
désespérer,32,verbe 1er groupe,verbe,College,6
embarrasser,32,verbe 1er groupe,verbe,College,6
familier,32,adjectif qualificatif,adjectif,College,6
hamster,32,nom masculin,nom,College,6
monnaie,32,nom feminin,nom,College,6
yaourt,32,nom masculin,nom,College,6
offenser,32,verbe 1er groupe,verbe,College,6
rapiécer,32,verbe 1er groupe,verbe,College,6
serein,32,adjectif qualificatif,adjectif,College,6
succulent,32,adjectif qualificatif,adjectif,College,6
supplier,32,verbe 1er groupe,verbe,College,6
volontiers,32,adverbe,autres,College,6
abondamment,33,adverbe,autres,College,6
accueillir,33,verbe 3eme groupe,verbe,College,6
acquitter,33,verbe 1er groupe,verbe,College,6
banane,33,nom feminin,nom,College,6
anxieux,33,adjectif qualificatif,adjectif,College,6
appuyer,33,verbe 1er groupe,verbe,College,6
asseoir,33,verbe 3eme groupe,verbe,College,6
train,33,nom masculin,nom,College,6
bizarre,33,adjectif qualificatif,adjectif,College,6
blottir,33,verbe 2eme groupe,verbe,College,6
déchaîner,33,verbe 1er groupe,verbe,College,6
emmener,33,verbe 1er groupe,verbe,College,6
enflammer,33,verbe 1er groupe,verbe,College,6
ennuyeux,33,adjectif qualificatif,adjectif,College,6
bol,33,nom masculin,nom,College,6
évidemment,33,adverbe,autres,College,6
excellent,33,adjectif qualificatif,adjectif,College,6
gaufre,33,nom feminin,nom,College,6
biscuit,33,nom masculin,nom,College,6
beurre,33,nom masculin,nom,College,6
hypocrite,33,adjectif qualificatif,adjectif,College,6
farine,33,nom feminin,nom,College,6
bocal,33,nom masculin,nom,College,6
lavabo,33,nom masculin,nom,College,6
moelleux,33,adjectif qualificatif,adjectif,College,6
pittoresque,33,adjectif qualificatif,adjectif,College,6
raisonnable,33,adjectif qualificatif,adjectif,College,6
torchon,33,nom masculin,nom,College,6
solennel,33,adjectif qualificatif,adjectif,College,6
successivement,33,adverbe,autres,College,6
suffire,33,verbe 3eme groupe,verbe,College,6
traîner,33,verbe 1er groupe,verbe,College,6
velours,33,nom masculin,nom,College,6
affairé,34,adjectif qualificatif,adjectif,College,6
clown,34,nom masculin,nom,College,6
concerner,34,verbe 1er groupe,verbe,College,6
constamment,34,adverbe,autres,College,6
bain,34,nom masculin,nom,College,6
disperser,34,verbe 1er groupe,verbe,College,6
jardinier,34,nom masculin,nom,College,6
recette,34,nom feminin,nom,College,6
poulailler,34,nom masculin,nom,College,6
préoccuper,34,verbe 1er groupe,verbe,College,6
semaine,34,nom feminin,nom,College,6
scintiller,34,verbe 1er groupe,verbe,College,6
sûrement,34,adverbe,autres,College,6
ci-joint,35,adjectif qualificatif,adjectif,College,6
croûte,35,nom feminin,nom,College,6
cuisine,35,nom feminin,nom,College,6
saladier,35,nom masculin,nom,College,6
tableau,35,nom masculin,nom,College,6
neige,35,nom feminin,nom,College,6
foin,35,nom masculin,nom,College,6
solliciter,35,verbe 1er groupe,verbe,College,6
anticiper,36,verbe 1er groupe,verbe,College,6
bruyamment,36,adverbe,autres,College,6
clin d'oeil,36,nom masculin,nom,College,6
frein,36,nom masculin,nom,College,6
eh,36,interjection,autres,College,6
train,36,nom masculin,nom,College,6
entrouvrir,36,verbe 3eme groupe,verbe,College,6
herbe,36,nom feminin,nom,College,6
ailleurs,37,adverbe,autres,College,6
certes,37,adverbe,autres,College,6
davantage,37,adverbe,autres,College,6
débarrasser,37,verbe 1er groupe,verbe,College,6
hôpital,37,nom masculin,nom,College,6
pré,37,nom masculin,nom,College,6
puits,37,nom masculin,nom,College,6
équipe,37,nom feminin,nom,College,6
tartine,38,nom feminin,nom,College,6
clémentine,38,nom feminin,nom,College,6
fréquemment,38,adverbe,autres,College,6
raccommoder,38,verbe 1er groupe,verbe,College,6
raccourcir,38,verbe 2eme groupe,verbe,College,6
suffisamment,38,adverbe,autres,College,6
ruisseau,39,nom masculin,nom,College,6
tracteur,39,nom masculin,nom,College,6
football,39,nom masculin,nom,College,6
impatiemment,39,adverbe,autres,College,6
terrain,41,nom masculin,nom,College,6
exhaler,42,verbe 1er groupe,verbe,College,6
tuyau,42,nom masculin,nom,College,6
bâiller,43,verbe 1er groupe,verbe,College,6
café,43,nom masculin,nom,College,6
